id,parent_id,handle,vendor,tags,options,title,body_html,option1,option2,option3,sku,requires_shipping,taxable,image,available,price,grams,compare_at_price,position
42137731104967,7328117620935,ibs-la291,Rav Gedaliah Honigsberg,"['Author_Rav Gedaliah Honigsberg', 'Biographies & Memoirs', 'Categories_Biographies & Memoirs']","[{'name': 'Title', 'position': 1, 'values': ['Default Title']}]","""Brachah V'Hatzlachah""","
Anecdotes, Advice, Hanhagos,Brachos, and Segulos ofMaran Sar HaTorahHaRav Chaim Kanievsky zt""lWith these two words (shortened by Rav Chaim to theiracronym ""Buha!"" in his later years), the Gadol Hador blessed andencouraged the thousands who asked for his advice and brachos,whether in person, by phone (via his gabbai), or through the mail.What was the secret of Rav Chaim's famous ""Buha""?To know that, one first needs to know-or at least to get aglimpse of-the Gadol Hador himself.In Brachah V'hatzlachah, you will experience what it was liketo be in the close proximity of Maran Sar HaTorah, Rav ChaimKanievsky ztvk""l, on a daily basis. Like the proverbial ""fly on thewall,"" you will be able to listen in to the questions that were posedto him, and hear the amazing responses that he offered--often inonly a word or two.You will follow Rav Chaim on his awe-inspiring daily schedule;you'll get a taste of his remarkable ""chovos"" (the learning regimenthat enabled him to finish kol haTorah kulah each and every year);you will witness the miracles that seemed to be commonplacein Rav Chaim's presence. Most of all, you will get a glimpse ofgreatness that is hard to imagine-that is, until you read aboutit firsthand, straight from the pen of Rav Gedaliah Honigsbergshlit""a, Rav Chaim's grandson and trusted gabbai for decades,who actually was witness himself to all of the interactions andvignettes recorded in this book (originally Minchas Todah inHebrew).Read, and be amazed! Read, and become inspired! Read, andreceive chizuk from the gadol who, from his small corner onRechov Rashbam, cared about each and every Yid and blessedthem all with brachah v""hatzlachah.









Sku:
IBS-LA291


Author:
Rav Gedaliah Honigsberg


Isbn 13:
9781600919886


Isbn 10:
160091988X


Pages:
333


Size:
6.3"" x 9.3""


Binding:
Hardcover


Date:
4/24/2022


Imprint:
Israel Bookshop Publications


",Default Title,,,IBS-LA291,True,True,https://cdn.shopify.com/s/files/1/0093/3625/8657/products/IBS-LA291.jpg?v=1650929122,True,30.99,726,29.99,1
42599258030279,7128075796679,f-8103,Rabbi Ben Tzion Shafier,"['Author_Rabbi Ben Tzion Shafier', 'Categories_Dating & Marriage', 'Dating & Marriage']","[{'name': 'Format', 'position': 1, 'values': ['Book', 'Audiobook']}]",Book,"
A Torah-Based Guide ToA Successful Marriage Finally!
The straight-talking marriage book thatKlal Yisrael has been waiting for.Every smart young couple starts their marriage withthe same dreams, goals, and ideals. They're one hundredpercent sure that they will live in married bliss forever.Until they aren't.Until the bickering, fighting, and loneliness becomesecond nature and they are left wondering where theywent wrong. Unfortunately, making a happy marriage isnot intuitive, and most couples make the same fatal errorswhen trying to build their Torah home. They're not awarethat these minor infractions are ruining the most preciousrelationship of their life.
Ten Really Dumb Mistakes That Very Smart Couples Makewill give you a new level of understanding for whatmakes a marriage work. It will coach you on the practicaltechniques you need in order to increase the intimacy andlove in your marriage.Make sure that your marriage doesn't succumb to thesame mistakes that Rabbi Shafier has seen so many othersmake. Avoid these ten fundamental errors and build themost satisfying relationship imaginable.""I found the book enjoyable, easily understood, enlighten-ing, and inspiring. This is truly an aid in enabling one tounderstand oneself and one's spouse. I recommend thiswork to all couples who want to strengthen their mar-riages, whether or not they are experiencing problems.I also recommend it to all those in the process of finding aspouse as an excellent preparation for marriage""HaRav Zev Leff shlita









BookAudiobook




Sku:► (Click Here For Options)

F-8103


Author:
Rabbi Ben Tzion Shafier


Isbn 13:
9781680255300


Isbn 10:
1680255304


Pages:
406


Size:
6.3"" x 9.3""


Binding:
Hardcover


Date:
11/17/2021


Imprint:
Feldheim Publishers


",Book,,,F-8103,True,True,https://cdn.shopify.com/s/files/1/0093/3625/8657/products/F-8103.jpg?v=1637179422,True,22.99,635,24.99,1
42599258063047,7128075796679,f-8103,Rabbi Ben Tzion Shafier,"['Author_Rabbi Ben Tzion Shafier', 'Categories_Dating & Marriage', 'Dating & Marriage']","[{'name': 'Format', 'position': 1, 'values': ['Book', 'Audiobook']}]",Audiobook,"
A Torah-Based Guide ToA Successful Marriage Finally!
The straight-talking marriage book thatKlal Yisrael has been waiting for.Every smart young couple starts their marriage withthe same dreams, goals, and ideals. They're one hundredpercent sure that they will live in married bliss forever.Until they aren't.Until the bickering, fighting, and loneliness becomesecond nature and they are left wondering where theywent wrong. Unfortunately, making a happy marriage isnot intuitive, and most couples make the same fatal errorswhen trying to build their Torah home. They're not awarethat these minor infractions are ruining the most preciousrelationship of their life.
Ten Really Dumb Mistakes That Very Smart Couples Makewill give you a new level of understanding for whatmakes a marriage work. It will coach you on the practicaltechniques you need in order to increase the intimacy andlove in your marriage.Make sure that your marriage doesn't succumb to thesame mistakes that Rabbi Shafier has seen so many othersmake. Avoid these ten fundamental errors and build themost satisfying relationship imaginable.""I found the book enjoyable, easily understood, enlighten-ing, and inspiring. This is truly an aid in enabling one tounderstand oneself and one's spouse. I recommend thiswork to all couples who want to strengthen their mar-riages, whether or not they are experiencing problems.I also recommend it to all those in the process of finding aspouse as an excellent preparation for marriage""HaRav Zev Leff shlita









BookAudiobook




Sku:► (Click Here For Options)

F-8103


Author:
Rabbi Ben Tzion Shafier


Isbn 13:
9781680255300


Isbn 10:
1680255304


Pages:
406


Size:
6.3"" x 9.3""


Binding:
Hardcover


Date:
11/17/2021


Imprint:
Feldheim Publishers


",Audiobook,,,6197024,True,True,https://cdn.shopify.com/s/files/1/0093/3625/8657/products/F-8103.jpg?v=1637179422,True,9.99,28,24.99,2
43273133555911,7708364800199,f-8408,Feldheim Publishers,"['Author_Rabbi Ben Tzion Shafier', 'Categories_Dating & Marriage', 'Dating & Marriage']","[{'name': 'Title', 'position': 1, 'values': ['Default Title']}]",10 Really Dumb Mistakes That Very Smart Couples Make - Video Book,"
The Easiest and MostEntertaining Way to Repair Your Relationship andCreate a Joyful, Resilient, Passionate Marriage

HOW TO USE YOUR VIDEO BOOK:The 10 Really Dumb Mistakes video plays when you open and stops when youclose it. When you open it again, it will begin from where you stopped.• On the left side is the full table of contents. There are51 videos (each 3-4 minutes long) broken into 5 chapters.• To advance to the next video press 'next'• To go back, press 'previous'.• To pause, press the chapter button. To go to the beginning of thechapter press and hold that chapter button for 3 seconds.• The volume control is on the right.• There is a headset jack located on the top.May Hashem give you all the tools you need for a satisfying marriage,Rabbi Shafier













Sku:
F-8408


Isbn 13:
9781680259483


Isbn 10:
1680259482


Size:
6"" x 9.5""


Binding:
Hardcover


Date:
7/5/2023


Imprint:
Feldheim Publishers


",Default Title,,,F-8408,True,True,https://cdn.shopify.com/s/files/1/0093/3625/8657/products/F-8408.jpg?v=1688569618,True,49.99,363,49.99,1
43370089251015,7751564329159,f-8450,L. Patz,"['Author_L. Patz', 'Categories_Humor', 'Humor']","[{'name': 'Title', 'position': 1, 'values': ['Default Title']}]",1001 Fun Facts About Israel,"
FascinatingAnd Fun FactsAbout IsraelIts history, geography, animallife, religion, and much more!




Sku:
F-8450


Author:
L. Patz


Isbn 13:
9781957579023


Isbn 10:
1957579021


Pages:
147


Size:
6.3"" x 9.3""


Binding:
Hardcover


Date:
9/11/2023


Imprint:
Feldheim Publishers


",Default Title,,,F-8450,True,True,https://cdn.shopify.com/s/files/1/0093/3625/8657/products/F-8450.jpg?v=1694549821,True,13.99,408,14.99,1
32689550393441,4753685971041,ibs-la174,Rabbi Tzvi Nakar,"['Author_Rabbi Tzvi Nakar', 'Categories_Inspirational & Short Stories', 'Inspirational & Short Stories']","[{'name': 'Title', 'position': 1, 'values': ['Default Title']}]",102 Stories That Changed People's Lives - Volume 1,"
An inspiring anthology that strengthens emunah and bitachonWhen Rav Wosner opened his eyes he sighed and ruled, ""The answer is clear. You have a strong claim against your partner. You may take him to a din Torah."" I well understood the meaning of a din Torah. The case would sprout wings and take flight as the scandal of the century. Before long, we'd be the talk of the town, and everyone in the neighborhood-in shuls, kollelim, and groceries-would be gossiping and analyzing our situation. Worst of all was the personal devastation it would wreak on our personal lives and immediate family. We weren't only friends; we were mechutanim twice over. I didn't want to imagine how it could impact our couples and grandchildren.Even in the ideal case that Heshy panicked upon receiving the summons to beis din, apologized, and returned the sum I vwas due, an iron wall would stand forever between us. How would we dance together at our grandchildren's chasunos? How would we sit side by side at the next bris? Suddenly, I realized that the tzaddik was still speaking. ""Certainly, you may go to beis din, but you should know that Hashem repays His children tenfold in This World when they yield for the sake of peace!""
102: The Gematria of EmunahRabbi Tzvi Nakar, contemporary maggid and author of the series Emunah Shleimah al HaTorah and Emunah Shleimah-Bar Mitzvah, weaves a tapestry of stories on emunah and bitachon. His powerful lessons and gripping tales of hashgachah pratis, most of which are drawn from modern times, enthuse and inspire, drawing the reader's heart to yearn for a deeper connection to Hashem. This updated English edition includes inspiring new stories from the COVID-19 pandemic.







Sku:
IBS-LA174


Author:
Rabbi Tzvi Nakar


Isbn 10:
1600917968


Isbn 13:
9781600917967


Pages:
526


Size:
6.7"" x 9.7""


Binding:
Hardcover


Imprint:
Israel Bookshop Publications


",Default Title,,,IBS-LA174,True,True,https://cdn.shopify.com/s/files/1/0093/3625/8657/products/IBS-LA174_4ca63d35-1976-41c8-93d8-c5671ac1b257.jpg?v=1635960486,True,31.99,998,31.99,1
43129623478471,7642924974279,ibs-la339,Rabbi Tzvi Nakar,"['Author_Rabbi Tzvi Nakar', 'Categories_Inspirational & Short Stories', 'Inspirational & Short Stories']","[{'name': 'Title', 'position': 1, 'values': ['Default Title']}]",102 Stories That Changed People's Lives - Volume 2,"
An Inspiring AnthologyThat StrengthensEmunah And BitachonThe doctor spoke for a long time,but Rachel didn't catch a word of it.She stared out the window, at a birdperched on the windowsill happilychirping. A breeze blew, rustling the leaves. Ahorn honked and people passed by under theopen window chattering loudly. And her baby, hersweet little Elchanan, couldn't hear any of it.She felt like her heart would crack in two at anymoment. What kind of life was her son destined tohave?One tear threatened to fall, but Rachel held itback. When she got home, she could give free reinto tears. She could cry over the life that her childwould face. But not yet. Not now. Now she neededto get out of here. She felt like she was suffocating.When they finally left, Dovid ordered a taxi, andshe heard him direct the driver to an unfamiliaraddress. Where were they going? She just wantedto go home. She didn't want to see anyone, to talkto anyone.""Where are we?"" she asked when the taxi stopped.""We're going to see Rav Chaim Kanievsky,"" Dovidsaid. His answer was curt, his eyes focused onsome point in the horizon, as if he was afraidthat if he said too much, he wouldn't be able tostop himself from breaking into sobs. ""A tzaddikdecrees and Hashem heeds the decree,"" he quoted.""Only he can help us now.""
102: The Gematria of EmunahRabbi Tzvi Nakar, is a contemporary maggidand the author of Emunah Shleimah-BarMitzvah and Tefillin, Meant To Be, and 24/7. Hispowerful lessons on emunah and gripping tales ofhashgachah pratis, all drawn from modern times,enthuse and inspire, drawing the reader's heart toyearn for a deeper connection to Hashem.











Sku:
IBS-LA339


Author:
Rabbi Tzvi Nakar


Isbn 13:
9798886730449


Isbn 10:
8886730446


Pages:
385


Size:
6.7"" x 9.7""


Binding:
Hardcover


Date:
3/21/2023


Imprint:
Israel Bookshop Publications


",Default Title,,,IBS-LA339,True,True,https://cdn.shopify.com/s/files/1/0093/3625/8657/products/IBS-LA339.jpg?v=1679586004,True,31.99,862,31.99,1
42733727252679,7492689789127,ibs-la309,Rabbi Tzvi Nakar,"['Author_Rabbi Tzvi Nakar', 'Categories_Inspirational & Short Stories', 'Inspirational & Short Stories']","[{'name': 'Title', 'position': 1, 'values': ['Default Title']}]",24/7,"
Contemporary Storiesof Hashgachah Pratis and Emunah
Based on pesukim of Tehillim with a 24/7 patternWhat can totally change a person's life?We've all come to this world in order to successfully meetsome specific challenge. How can we know what thatchallenge is?We can discover our true purpose by living with Hashem ev-ery moment, 24/7 - seeing Hashem's Hand in every situation,learning from the experiences of others, and accepting every-thing that happens in life with joy.Rabbi Tzvi Nakar is a contemporary maggid and author of nu-merous books, including Bar Mitzvah and Tefillin, 102 StoriesThat Changed People's Lives, Meant To Be, and the Hebrewseries Emunah Sheleimah. His most recent book, 24/7, is acollection of riveting stories on emunah, bitachon, and hash-gachah pratis, all with intensely powerful messages.








Sku:
IBS-LA309


Author:
Rabbi Tzvi Nakar


Isbn 13:
9781600919992


Isbn 10:
1600919995


Pages:
526


Size:
6.7"" x 9.7""


Binding:
Hardcover


Date:
9/22/2022


Imprint:
Israel Bookshop Publications


",Default Title,,,IBS-LA309,True,True,https://cdn.shopify.com/s/files/1/0093/3625/8657/products/IBS-LA309.jpg?v=1663896058,True,31.99,1089,31.99,1
43679958859975,7869236969671,7159001,Shlomo Mehlman,"['Author_Shlomo Mehlman', 'Categories_Coffee Table Books', 'Coffee Table Books']","[{'name': 'Title', 'position': 1, 'values': ['Default Title']}]",50 Years of Mordechai Ben David Songbook,"
Shabbos Table SongbookKumzitsEverywhere
Dear MBD Fan, I'm excited to announce that my first book, ""50 Years of Mordechai Ben David: Shabbos Table Songbook,"" is now available! It's the only one in the world of its kind. It was made with immense time and love. I hope it blows you away!What makes this book unique is that it contains the following features for EVERY MBD song on ALL his solo albums:1) The lyrics with nekudos, formatted in the structure of the song (verse, chorus, etc.)2) The transliterations (the Hebrew words in English letters)3) The translations in modern day English, so you better connect to the meaning of the song4) The source of the lyrics (where it's found in davening/tanach/etc.)5) The performer(s), composer, lyricist, arranger, producer, album and year.6) A link to a 30 second sample on YouTube, containing the verse and chorus to identify the song. The video displays the album cover, inserts, and medium (record/tape/CD).There are 307 songs in the book plus Seder Shabbos, Sheva Brachos, an English and Hebrew Table of Contents, a Special Occasions Index (categorizing songs by Yom Tov and Simcha), and beautiful cover art.
Click Here To View Spreadsheet









Sku:
7159001


Author:
Shlomo Mehlman


Translator:
E.B. Bruckenstein


Isbn 13:
9798218955038


Isbn 10:
8218955038


Pages:
353


Size:
6"" x 9""


Binding:
Paperback


Date:
9/5/2023


Imprint:
Kumzits Everywhere


",Default Title,,,7159001,True,True,https://cdn.shopify.com/s/files/1/0093/3625/8657/products/7159001.jpg?v=1705978657,True,78.99,726,0.00,1
32708645978209,4762122813537,sp-724-8,Simon Jacobson,"['Author_Simon Jacobson', 'Categories_Holiday Books', 'Holiday', 'Holiday Books', 'Yamim Noraim', 'Yamim Noraim Books']","[{'name': 'Title', 'position': 1, 'values': ['Default Title']}]",60 Days: A Spiritual Guide to the High Holidays,"

60 DAYS is really the story of each one of our lives, as expressed in perhaps the biggest rebuild after destruction? It's one thing to question of all: Is there hope after loss, can we rebuild after destruction? It's one thing to find happiness and life affirmation when we escape to a mountain; it's quite another to be able to experience it when we are immersed in a cruel, material life. Can we really find Truth in a corrupt world? Can we reach the highest places from our limited space? Can we taste eternity as mortal creatures? Can we touch heaven even as we stand on earth? Can we, as people and as nations, ever discover true peace?The 60-day story of Elul and Tishrei resolutely answers these questions with a resounding Yes. 24 and unequivocal ""Yes."" Yes, there is hope. Yes we can rebuild. Indeed, we can find an even greater love than the original one. Yes, we can marry heaven and earth. And our entire yes, world can unite in one magnificent symphony, each of us contributing our particular melody.To help us along, 60 DAYS - which taps into the special energy of this time period - provides us with a specific day by day plan, that covers the entire spectrum of human experience and addresses the different areas of work necessary to achieve reconciliation and renewal, sanctity and joy - in one dance of personal and cosmic transformation.








Sku:
SP-724-8


Author:
Simon Jacobson


Isbn 10:
1886587248


Isbn 13:
9781886587243


Pages:
220


Size:
8"" x 8.5""


Binding:
Paperback


Date:
6/15/2003


Imprint:
Meaningful Life Center



",Default Title,,,SP-724-8,True,True,https://cdn.shopify.com/s/files/1/0093/3625/8657/products/SP-724-8_ea99503f-3953-4e71-83c2-9b1b81652c7b.jpg?v=1635964991,True,25.99,544,0.00,1
